SEXO,NIVEL EDUCATIVO,ESTADO CIVIL,OCUPACIÓN,REGIMEN SEGURIDAD SOCIAL,INGRESOS MENSUALES,GRUPO POBLACIONAL,ÉTNICO,CICLO DE VIDA,CAMPESINO,DISCAPACIDAD,LOCALIDAD,CABILDO,BARRIO/CORREGIMIENTO,SECTOR,FECHA DE RESOLUCIÓN,ENTIDAD DISTRITAL QUE ASIGNA EL SUBSIDIO,TIPO DE MEJORAMIENTO,VALOR DEL SUBSIDIO
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Técnico o tecnológico (1 - 4),Casado(a),Ama de Casa/Cuidador,Contributivo (EPS),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Separado(a) o divorciado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Víctima Conflicto Armado,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
